"Year";"Sex";"Age";"County";"PopJan1";"PopMidYear"
1990;"Férfi";50;"Borsod-Abaúj-Zemplén megye";21709;21579,5
1990;"Férfi";50;"Heves megye";9364;9315,5
1990;"Férfi";50;"Nógrád megye";6819;6822,5
1990;"Férfi";50;"Hajdú-Bihar megye";13929;13995,5
1990;"Férfi";50;"Szabolcs-Szatmár-Bereg megye";13652;13707
1990;"Férfi";50;"Jász-Nagykun-Szolnok megye";12161;12175,5
1990;"Férfi";50;"Bács-Kiskun megye";14820;14833
1990;"Férfi";50;"Békés megye";11383;11386,5
1990;"Férfi";50;"Csongrád megye";11729;11898,5
1990;"Férfi";55;"Budapest";52345;51115
1990;"Férfi";55;"Pest megye";24957;24648
1990;"Férfi";55;"Fejér megye";11694;11579
1990;"Férfi";55;"Komárom-Esztergom megye";8769;8737
1990;"Férfi";55;"Veszprém megye";10506;10319
1990;"Férfi";55;"Gyõr-Moson-Sopron megye";11069;10860
1990;"Férfi";55;"Vas megye";7241;7107
1990;"Férfi";55;"Zala megye";8454;8256,5
1990;"Férfi";55;"Baranya megye";11890;11811,5
1990;"Férfi";55;"Somogy megye";9772;9545,5
1990;"Férfi";55;"Tolna megye";6990;6881
1990;"Férfi";55;"Borsod-Abaúj-Zemplén megye";21599;21333
1990;"Férfi";55;"Heves megye";9986;9888,5
1990;"Férfi";55;"Nógrád megye";6827;6755,5
1990;"Férfi";55;"Hajdú-Bihar megye";13832;13640,5
1990;"Férfi";55;"Szabolcs-Szatmár-Bereg megye";14187;14028
1990;"Férfi";55;"Jász-Nagykun-Szolnok megye";12138;12009
1990;"Férfi";55;"Bács-Kiskun megye";14919;14630
1990;"Férfi";55;"Békés megye";11302;11171,5
1990;"Férfi";55;"Csongrád megye";11443;11251
1990;"Férfi";60;"Budapest";50324;50186
1990;"Férfi";60;"Pest megye";22292;22301,5
1990;"Férfi";60;"Fejér megye";10091;10170
1990;"Férfi";60;"Komárom-Esztergom megye";7483;7441,5
1990;"Férfi";60;"Veszprém megye";9300;9369,5
1990;"Férfi";60;"Gyõr-Moson-Sopron megye";10769;10701,5
1990;"Férfi";60;"Vas megye";6940;6891,5
1990;"Férfi";60;"Zala megye";8219;8210
1990;"Férfi";60;"Baranya megye";10875;10789,5
1990;"Férfi";60;"Somogy megye";9417;9327,5
1990;"Férfi";60;"Tolna megye";6560;6524,5
1990;"Férfi";60;"Borsod-Abaúj-Zemplén megye";18690;18683,5
1990;"Férfi";60;"Heves megye";8913;8896,5
1990;"Férfi";60;"Nógrád megye";5817;5840,5
1990;"Férfi";60;"Hajdú-Bihar megye";12804;12741,5
1990;"Férfi";60;"Szabolcs-Szatmár-Bereg megye";13665;13456
1990;"Férfi";60;"Jász-Nagykun-Szolnok megye";11219;11146
1990;"Férfi";60;"Bács-Kiskun megye";14217;14122
1990;"Férfi";60;"Békés megye";11061;10890
1990;"Férfi";60;"Csongrád megye";11200;11106,5
1990;"Férfi";65;"Budapest";43920;43605
1990;"Férfi";65;"Pest megye";18443;18416,5
1990;"Férfi";65;"Fejér megye";7820;7876
1990;"Férfi";65;"Komárom-Esztergom megye";6184;6204,5
1990;"Férfi";65;"Veszprém megye";7624;7631,5
1990;"Férfi";65;"Gyõr-Moson-Sopron megye";9316;9374
1990;"Férfi";65;"Vas megye";6392;6373,5
1990;"Férfi";65;"Zala megye";7309;7293,5
1990;"Férfi";65;"Baranya megye";8645;8634,5
1990;"Férfi";65;"Somogy megye";7865;7943
1990;"Férfi";65;"Tolna megye";5795;5796,5
1990;"Férfi";65;"Borsod-Abaúj-Zemplén megye";15481;15569,5
1990;"Férfi";65;"Heves megye";7443;7483,5
1990;"Férfi";65;"Nógrád megye";5056;5068
1990;"Férfi";65;"Hajdú-Bihar megye";10957;11085,5
1990;"Férfi";65;"Szabolcs-Szatmár-Bereg megye";11791;11911
1990;"Férfi";65;"Jász-Nagykun-Szolnok megye";9195;9324,5
1990;"Férfi";65;"Bács-Kiskun megye";11879;11973
1990;"Férfi";65;"Békés megye";10206;10241,5
1990;"Férfi";65;"Csongrád megye";9862;9923
1990;"Férfi";70;"Budapest";24365;25363
1990;"Férfi";70;"Pest megye";9294;9808,5
1990;"Férfi";70;"Fejér megye";3322;3599
1990;"Férfi";70;"Komárom-Esztergom megye";2825;3012
1990;"Férfi";70;"Veszprém megye";3526;3786,5
1990;"Férfi";70;"Gyõr-Moson-Sopron megye";4388;4602
1990;"Férfi";70;"Vas megye";3004;3207
1990;"Férfi";70;"Zala megye";3152;3384
1990;"Férfi";70;"Baranya megye";3891;4223
1990;"Férfi";70;"Somogy megye";3588;3811
1990;"Férfi";70;"Tolna megye";2500;2653,5
1990;"Férfi";70;"Borsod-Abaúj-Zemplén megye";7166;7541
1990;"Férfi";70;"Heves megye";3650;3851,5
1990;"Férfi";70;"Nógrád megye";2581;2684,5
1990;"Férfi";70;"Hajdú-Bihar megye";4842;5153,5
1990;"Férfi";70;"Szabolcs-Szatmár-Bereg megye";4828;5136
1990;"Férfi";70;"Jász-Nagykun-Szolnok megye";4410;4627
1990;"Férfi";70;"Bács-Kiskun megye";5706;5992,5
1990;"Férfi";70;"Békés megye";4757;5053
1990;"Férfi";70;"Csongrád megye";4718;4901
1990;"Férfi";75;"Budapest";26536;25779
1990;"Férfi";75;"Pest megye";9870;9488,5
1990;"Férfi";75;"Fejér megye";3699;3550,5
1990;"Férfi";75;"Komárom-Esztergom megye";2811;2701
1990;"Férfi";75;"Veszprém megye";3899;3711
1990;"Férfi";75;"Gyõr-Moson-Sopron megye";4586;4452,5
1990;"Férfi";75;"Vas megye";3438;3283
1990;"Férfi";75;"Zala megye";3436;3327
1990;"Férfi";75;"Baranya megye";4009;3869,5
1990;"Férfi";75;"Somogy megye";3838;3687
1990;"Férfi";75;"Tolna megye";2782;2680,5
1990;"Férfi";75;"Borsod-Abaúj-Zemplén megye";7162;6879,5
1990;"Férfi";75;"Heves megye";3891;3772
1990;"Férfi";75;"Nógrád megye";2558;2458,5
1990;"Férfi";75;"Hajdú-Bihar megye";5801;5510,5
1990;"Férfi";75;"Szabolcs-Szatmár-Bereg megye";4943;4732,5
1990;"Férfi";75;"Jász-Nagykun-Szolnok megye";5266;5013,5
